PromotionID,EmployeeID,PromotionDate,PromotionReason
PRO000534,EMP001790,2019-02-26,Outstanding Performance
PRO000535,EMP001795,2025-04-21,
PRO000536,EMP001803,2024-10-07,Years of Service
PRO000537,EMP001805,2025-11-14,Outstanding Performance
PRO000538,EMP001810,2019-03-07,Leadership Potential
PRO000539,EMP001813,2023-05-03,Internal Recruitment
PRO000540,EMP001816,2021-10-15,Leadership Potential
PRO000541,EMP001817,2023-04-14,Leadership Potential
PRO000542,EMP001824,2025-10-27,Years of Service
PRO000543,EMP001831,2025-04-04,Leadership Potential
PRO000544,EMP001839,2025-10-14,Leadership Potential
PRO000545,EMP001840,2022-07-02,Department Expansion
PRO000546,EMP001847,2025-04-17,Internal Recruitment
PRO000547,EMP001859,2022-05-13,Department Expansion
PRO000548,EMP001864,2021-03-04,Leadership Potential
PRO000549,EMP001866,2021-10-24,Years of Service
PRO000550,EMP001868,2019-12-14,Department Expansion
PRO000551,EMP001869,2023-02-14,Internal Recruitment
PRO000552,EMP001873,2023-12-16,
PRO000553,EMP001876,2023-09-10,Internal Recruitment
PRO000554,EMP001877,2021-09-24,Department Expansion
PRO000555,EMP001878,2025-02-24,Years of Service
PRO000556,EMP001879,2022-05-13,Internal Recruitment
PRO000557,EMP001881,2025-07-01,Internal Recruitment
PRO000558,EMP001882,2025-06-01,Years of Service
PRO000559,EMP001885,2024-05-26,
PRO000560,EMP001890,2021-04-28,Years of Service
PRO000561,EMP001894,2020-05-03,Department Expansion
PRO000562,EMP001897,2024-04-11,Outstanding Performance
PRO000563,EMP001902,2022-11-08,Leadership Potential
PRO000564,EMP001913,2023-03-18,
PRO000565,EMP001914,2021-03-06,N/A
PRO000566,EMP001917,2021-03-07,Years of Service
PRO000567,EMP001919,2024-05-03,Internal Recruitment
PRO000568,EMP001929,2019-07-19,Department Expansion
PRO000569,EMP001931,2020-10-14,Department Expansion
PRO000570,EMP001935,2024-04-17,Outstanding Performance
PRO000571,EMP001944,2020-05-24,Years of Service
PRO000572,EMP001952,2021-04-18,Good
PRO000573,EMP001954,2025-12-12,Years of Service
PRO000574,EMP001955,2020-11-25,Years of Service
PRO000575,EMP001956,2021-10-01,Years of Service
PRO000576,EMP001964,2019-10-24,Internal Recruitment
PRO000577,EMP001965,2022-04-26,Leadership Potential
PRO000578,EMP001966,2022-05-10,
PRO000579,EMP001971,2022-10-17,Leadership Potential
PRO000580,EMP001972,2020-06-22,
PRO000581,EMP001975,2022-09-07,Outstanding Performance
PRO000582,EMP001984,2025-11-14,Outstanding Performance
PRO000583,EMP001986,2020-04-10,Transfer
PRO000584,EMP001987,2020-09-16,Department Expansion
PRO000585,EMP001990,2024-07-09,Outstanding Performance
PRO000586,EMP001993,2021-10-13,Internal Recruitment
PRO000587,EMP001996,2020-04-11,Department Expansion
PRO000588,EMP002000,2025-11-02,
PRO000589,EMP002002,2020-12-13,Department Expansion
PRO000590,EMP002004,2019-01-07,Department Expansion
PRO000591,EMP002006,2021-03-09,Outstanding Performance
PRO000592,EMP002010,2024-10-12,Department Expansion
PRO000593,EMP002012,2025-10-21,Department Expansion
PRO000594,EMP002018,2019-06-02,Outstanding Performance
PRO000595,EMP002025,2022-07-23,Internal Recruitment
PRO000596,EMP002027,2023-06-15,Outstanding Performance
PRO000597,EMP002028,2023-01-03,Internal Recruitment
PRO000598,EMP002035,2023-09-08,Internal Recruitment
PRO000599,EMP002036,2021-05-13,Internal Recruitment
PRO000600,EMP002038,2021-03-26,Outstanding Performance
PRO000601,EMP002051,2019-07-23,Department Expansion
PRO000602,EMP002052,2024-09-09,Department Expansion
PRO000603,EMP002053,2021-12-28,Outstanding Performance
PRO000604,EMP002055,2019-11-07,Outstanding Performance
PRO000605,EMP002059,2019-08-19,Internal Recruitment
PRO000606,EMP002062,2022-01-16,Years of Service
PRO000607,EMP002067,2021-01-06,Outstanding Performance
PRO000608,EMP002070,2021-03-10,Department Expansion
PRO000609,EMP002071,2023-07-13,Department Expansion
PRO000610,EMP002072,2025-06-26,Internal Recruitment
PRO000611,EMP002073,2022-05-21,Years of Service
PRO000612,EMP002075,2019-09-08,Leadership Potential
PRO000613,EMP002077,2024-04-08,Years of Service
PRO000614,EMP002078,2025-08-08,Department Expansion
PRO000615,EMP002080,2020-04-03,Years of Service
PRO000616,EMP002082,2025-10-19,Department Expansion
PRO000617,EMP002084,2020-01-18,Internal Recruitment
PRO000618,EMP002086,2025-07-22,Years of Service
PRO000619,EMP002090,2019-01-25,Department Expansion
PRO000620,EMP002096,2023-10-26,Promotion
PRO000621,EMP002102,2019-03-01,Internal Recruitment
PRO000622,EMP002105,2019-06-22,Leadership Potential
PRO000623,EMP002110,2021-11-24,Department Expansion
PRO000624,EMP002112,2019-07-28,Department Expansion
PRO000625,EMP002114,2019-11-02,Years of Service
PRO000626,EMP002118,2024-09-18,Department Expansion
PRO000627,EMP002122,2025-12-02,Internal Recruitment
PRO000628,EMP002124,2025-09-13,Department Expansion
PRO000629,EMP002127,2021-02-11,Leadership Potential
PRO000630,EMP002128,2021-03-18,Internal Recruitment
PRO000631,EMP002131,2020-09-26,Leadership Potential
PRO000632,EMP002137,2024-08-15,
PRO000633,EMP002139,2020-10-05,Internal Recruitment
PRO000634,EMP002148,2024-09-07,Leadership Potential
PRO000635,EMP002150,2023-08-25,
PRO000636,EMP002156,2019-04-25,
PRO000637,EMP002162,2024-05-15,Years of Service
PRO000638,EMP002163,2022-06-02,Outstanding Performance
PRO000639,EMP002166,2024-06-16,Department Expansion
PRO000640,EMP002169,2021-02-11,Outstanding Performance
PRO000641,EMP002171,2025-08-15,Outstanding Performance
PRO000642,EMP002173,2022-06-16,Leadership Potential
PRO000643,EMP002176,2023-07-15,
PRO000644,EMP002178,2020-10-08,Years of Service
PRO000645,EMP002181,2023-01-09,Outstanding Performance
PRO000646,EMP002182,2020-12-17,Leadership Potential
PRO000647,EMP002188,2019-05-26,Outstanding Performance
PRO000648,EMP002190,2023-07-20,Leadership Potential
PRO000649,EMP002196,2025-03-14,Years of Service
PRO000650,EMP002197,2025-12-21,Years of Service
PRO000651,EMP002198,2020-09-24,Leadership Potential
PRO000652,EMP002203,2025-08-21,Internal Recruitment
PRO000653,EMP002209,2024-09-18,
PRO000654,EMP002214,2024-09-10,Department Expansion
PRO000655,EMP002215,2019-01-07,
PRO000656,EMP002222,2020-02-15,Internal Recruitment
PRO000657,EMP002225,2023-11-06,Department Expansion
PRO000658,EMP002233,2019-07-13,Years of Service
PRO000659,EMP002235,2020-09-19,Years of Service
PRO000660,EMP002236,2019-01-23,
PRO000661,EMP002244,2020-11-05,Internal Recruitment
PRO000662,EMP002250,2021-05-17,Leadership Potential
PRO000663,EMP002252,2020-06-05,Years of Service
PRO000664,EMP002253,2021-11-09,Internal Recruitment
PRO000665,EMP002259,2022-07-02,Years of Service
PRO000666,EMP002260,2022-10-09,Years of Service
PRO000667,EMP002263,2024-08-11,Leadership Potential
PRO000668,EMP002271,2023-07-01,N/A
PRO000669,EMP002274,2019-11-07,Years of Service
PRO000670,EMP002278,2020-08-28,Outstanding Performance
PRO000671,EMP002284,2023-10-25,Years of Service
PRO000672,EMP002286,2019-09-01,Leadership Potential
PRO000673,EMP002288,2019-10-18,Department Expansion
PRO000674,EMP002294,2024-06-04,Department Expansion
PRO000675,EMP002295,2025-04-13,Years of Service
PRO000676,EMP002297,2025-10-18,
PRO000677,EMP002303,2025-07-07,Years of Service
PRO000678,EMP002308,2022-09-03,
PRO000679,EMP002311,2019-07-07,Department Expansion
PRO000680,EMP002312,2019-02-17,Department Expansion
PRO000681,EMP002316,2020-06-22,Years of Service
PRO000682,EMP002317,2024-10-08,Outstanding Performance
PRO000683,EMP002322,2022-08-02,Outstanding Performance
PRO000684,EMP002334,2025-08-20,Department Expansion
PRO000685,EMP002336,2022-07-20,Internal Recruitment
PRO000686,EMP002337,2025-08-02,Internal Recruitment
PRO000687,EMP002341,2019-06-13,Years of Service
PRO000688,EMP002343,2025-05-05,Leadership Potential
PRO000689,EMP002346,2022-11-20,Internal Recruitment
PRO000690,EMP002348,2024-11-11,Outstanding Performance
PRO000691,EMP002354,2023-12-08,Outstanding Performance
PRO000692,EMP002357,2021-10-08,Years of Service
PRO000693,EMP002363,2020-12-18,Department Expansion
PRO000694,EMP002364,2020-02-20,Internal Recruitment
PRO000695,EMP002365,2022-06-16,Internal Recruitment
PRO000696,EMP002368,2024-09-01,Years of Service
PRO000697,EMP002370,2023-11-27,Promotion
PRO000698,EMP002371,2024-11-19,
PRO000699,EMP002378,2021-03-22,Department Expansion
PRO000700,EMP002383,2024-02-25,Internal Recruitment
PRO000701,EMP002384,2024-04-06,Internal Recruitment
PRO000702,EMP002389,2022-12-11,Excellent
PRO000703,EMP002394,2024-08-15,Leadership Potential
PRO000704,EMP002396,2022-01-15,Promotion
PRO000705,EMP002401,2024-03-15,Outstanding Performance
PRO000706,EMP002404,2023-08-25,Internal Recruitment
PRO000707,EMP002414,2019-06-13,Department Expansion
PRO000708,EMP002418,2025-12-26,Internal Recruitment
PRO000709,EMP002420,2021-03-07,Department Expansion
PRO000710,EMP002421,2020-09-23,Leadership Potential
PRO000711,EMP002436,2024-03-24,Internal Recruitment
PRO000712,EMP002439,2020-05-15,Internal Recruitment
PRO000713,EMP002442,2023-05-21,Excellent
PRO000714,EMP002451,2019-07-28,Outstanding Performance
PRO000715,EMP002452,2024-01-16,Years of Service
PRO000716,EMP002456,2025-06-24,Promotion
PRO000717,EMP002457,2023-05-07,Internal Recruitment
PRO000718,EMP002458,2021-09-01,Outstanding Performance
PRO000719,EMP002461,2020-01-07,Years of Service
PRO000720,EMP002466,2024-08-11,Internal Recruitment
PRO000721,EMP002469,2023-03-26,Leadership Potential
PRO000722,EMP002472,2021-07-15,
PRO000723,EMP002484,2021-03-21,Internal Recruitment
PRO000724,EMP002487,2025-05-16,Department Expansion
PRO000725,EMP002488,2019-12-15,Internal Recruitment
PRO000726,EMP002489,2022-02-14,Years of Service
PRO000727,EMP002491,2025-11-19,Years of Service
PRO000728,EMP002493,2022-08-21,Department Expansion
PRO000729,EMP002495,2022-08-05,Internal Recruitment
PRO000730,EMP002498,2024-06-21,Leadership Potential
PRO000724,EMP002487,2025-05-16,Department Expansion
PRO000569,EMP001931,2020-10-14,Department Expansion
PRO000266,EMP000861,2019-07-13,Leadership Potential
PRO000071,EMP000238,2025-09-05,
PRO000670,EMP002278,2020-08-28,Outstanding Performance
PRO000381,EMP001255,2024-10-20,Years of Service
PRO000138,EMP000424,2025-03-26,Outstanding Performance
PRO000428,EMP001426,2019-04-12,Outstanding Performance
PRO000339,EMP001114,2024-09-17,Years of Service
PRO000463,EMP001546,2024-06-09,Years of Service
PRO000066,EMP000209,2021-09-09,Internal Recruitment
PRO000139,EMP000430,2025-04-18,Leadership Potential
PRO000452,EMP001518,2022-08-13,Outstanding Performance
PRO000422,EMP001414,2024-09-14,Years of Service
PRO000506,EMP001701,2021-08-19,Internal Recruitment
PRO000081,EMP000273,2025-08-14,Outstanding Performance
PRO000055,EMP000177,2019-08-07,Promotion
PRO000636,EMP002156,2019-04-25,
PRO000012,EMP000031,2025-06-01,Outstanding Performance
PRO000102,EMP000323,2019-10-07,Department Expansion
PRO000695,EMP002365,2022-06-16,Internal Recruitment
PRO000269,EMP000873,2020-10-15,Leadership Potential
PRO000346,EMP001132,2019-06-16,Leadership Potential
PRO000047,EMP000149,2025-11-13,Years of Service
PRO000150,EMP000481,2020-06-12,N/A
PRO000558,EMP001882,2025-06-01,Years of Service
PRO000398,EMP001325,2021-08-17,Department Expansion
PRO000237,EMP000772,2021-03-27,Internal Recruitment
PRO000173,EMP000551,2020-04-26,Internal Recruitment
PRO000037,EMP000120,2024-08-03,Leadership Potential
PRO000053,EMP000168,2024-08-05,Internal Recruitment
PRO000178,EMP000568,2021-03-01,Department Expansion
PRO000686,EMP002337,2025-08-02,Internal Recruitment
PRO000172,EMP000546,2023-05-23,Outstanding Performance
PRO000062,EMP000199,2020-05-14,Outstanding Performance
PRO000386,EMP001264,2019-09-27,Years of Service
PRO000384,EMP001262,2024-03-04,Leadership Potential
PRO000107,EMP000333,2019-07-03,
PRO000663,EMP002252,2020-06-05,Years of Service
PRO000095,EMP000311,2022-11-14,Internal Recruitment
PRO000631,EMP002131,2020-09-26,Leadership Potential
PRO000020,EMP000074,2023-09-12,Leadership Potential
PRO000180,EMP000582,2020-03-25,Outstanding Performance
PRO000006,EMP000010,2025-03-19,Years of Service
PRO000568,EMP001929,2019-07-19,Department Expansion
PRO000247,EMP000811,2025-01-11,Internal Recruitment
PRO000421,EMP001407,2020-03-19,Years of Service
PRO000401,EMP001336,2022-04-23,Department Expansion
PRO000718,EMP002458,2021-09-01,Outstanding Performance
PRO000278,EMP000911,2023-11-26,Internal Recruitment
